dataset,rare_class,seed,rts,variant,group,sep,split_hash,git_sha,cell_id_align_hash,abstain,chosen_rank,baseline_f1,rare_f1,rare_recall,rare_precision,n_rescued,n_false_rescues,ffr
immune_dc,ASDC,44,all,A2_minus_necessity,A,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9486,0.9349,0.9385,0.9313,8,6,0.000999
immune_dc,ASDC,44,all,A3_minus_adaptive_rank,A,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9486,0.9349,0.9385,0.9313,8,6,0.000999
immune_dc,ASDC,44,all,A4_minus_tau,A,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9486,0.9349,0.9385,0.9313,8,6,0.000999
immune_dc,ASDC,44,all,A5_full,A,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9486,0.9349,0.9385,0.9313,8,6,0.000999
immune_dc,ASDC,44,all,R1_rank1,R,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9486,0.9349,0.9385,0.9313,8,6,0.000999
immune_dc,ASDC,44,all,R2_rank2,R,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,2,0.9486,0.8103,0.9692,0.6961,58,52,0.008661
immune_dc,ASDC,44,all,R3_rank3,R,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,3,0.9486,0.8077,0.9692,0.6923,59,53,0.008827
immune_dc,ASDC,44,all,R_adaptive,R,1.8292,33b8ce5bdff2e437,7a90a01,0311166af38c,False,1,0.9486,0.9349,0.9385,0.9313,8,6,0.000999
pancreas_baron,gamma,42,0.01,A0_baseline,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,0,0.2268,0.2268,0.1279,1.0,0,0,0.0
pancreas_baron,gamma,42,0.01,A1_minus_sep,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.01,A2_minus_necessity,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.01,A3_minus_adaptive_rank,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,1,0.2268,0.6567,0.5116,0.9167,37,4,0.002442
pancreas_baron,gamma,42,0.01,A4_minus_tau,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7429,0.7558,0.7303,78,24,0.014652
pancreas_baron,gamma,42,0.01,A5_full,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.01,R1_rank1,R,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,1,0.2268,0.6567,0.5116,0.9167,37,4,0.002442
pancreas_baron,gamma,42,0.01,R2_rank2,R,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.01,R3_rank3,R,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,3,0.2268,0.6329,0.8721,0.4967,140,76,0.046398
pancreas_baron,gamma,42,0.01,R_adaptive,R,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.05,A0_baseline,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,0,0.2268,0.2268,0.1279,1.0,0,0,0.0
pancreas_baron,gamma,42,0.05,A1_minus_sep,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.05,A2_minus_necessity,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.05,A3_minus_adaptive_rank,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,1,0.2268,0.6567,0.5116,0.9167,37,4,0.002442
pancreas_baron,gamma,42,0.05,A4_minus_tau,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7429,0.7558,0.7303,78,24,0.014652
pancreas_baron,gamma,42,0.05,A5_full,A,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.05,R1_rank1,R,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,1,0.2268,0.6567,0.5116,0.9167,37,4,0.002442
pancreas_baron,gamma,42,0.05,R2_rank2,R,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.05,R3_rank3,R,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,3,0.2268,0.6329,0.8721,0.4967,140,76,0.046398
pancreas_baron,gamma,42,0.05,R_adaptive,R,1.5213,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,2,0.2268,0.7784,0.7558,0.8025,70,16,0.009768
pancreas_baron,gamma,42,0.10,A0_baseline,A,1.4422,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,0,0.7917,0.7917,0.6628,0.9828,0,0,0.0
pancreas_baron,gamma,42,0.10,A1_minus_sep,A,1.4422,507baa4fe66b76ae,legacy_pre_git_sha_recording,f73bc73e65e8,False,1,0.7917,0.8158,0.7209,0.9394,8,3,0.001832
