dataset,seed,rare_train_size,primary_group,metric,n,median,q25,q75
tabula_sapiens_stomach,42,0.01,unrescued_rare,rare_membership_score,13,0.04978072515797847,0.04192953402110687,0.05678709175704753
tabula_sapiens_stomach,42,0.01,true_rescued_rare,rare_membership_score,7,0.07402881369135071,0.06849974378839181,0.08286145715922594
tabula_sapiens_stomach,42,0.05,non_target,rare_membership_score,9543,0.0360099538590931,0.03232199746280576,0.03984547968300938
tabula_sapiens_stomach,42,0.05,baseline_correct_rare,rare_membership_score,12,0.11932514060163567,0.10943868202307865,0.14107577874043414
tabula_sapiens_stomach,42,0.05,unrescued_rare,rare_membership_score,13,0.04978072515797847,0.04192953402110687,0.05678709175704753
tabula_sapiens_stomach,42,0.05,true_rescued_rare,rare_membership_score,7,0.07402881369135071,0.06849974378839181,0.08286145715922594
tabula_sapiens_stomach,42,0.10,non_target,rare_membership_score,9543,0.0360099538590931,0.03232199746280576,0.03984547968300938
tabula_sapiens_stomach,42,0.10,baseline_correct_rare,rare_membership_score,12,0.11932514060163567,0.10943868202307865,0.14107577874043414
tabula_sapiens_stomach,42,0.10,unrescued_rare,rare_membership_score,13,0.04978072515797847,0.04192953402110687,0.05678709175704753
tabula_sapiens_stomach,42,0.10,true_rescued_rare,rare_membership_score,7,0.07402881369135071,0.06849974378839181,0.08286145715922594
tabula_sapiens_stomach,42,all,non_target,rare_membership_score,9543,0.04292875135093018,0.03853036836578014,0.04763641957994053
tabula_sapiens_stomach,42,all,true_rescued_rare,rare_membership_score,9,0.09632352370088472,0.08389899009491701,0.11548729534142939
tabula_sapiens_stomach,42,all,unrescued_rare,rare_membership_score,15,0.05751877400559129,0.051557549744549354,0.06740247593973628
tabula_sapiens_stomach,42,all,baseline_correct_rare,rare_membership_score,8,0.14305036723735964,0.12388682829563147,0.17675949740645788
tabula_sapiens_stomach,43,0.01,non_target,rare_membership_score,9543,0.012482296332621344,0.011256600577008925,0.013941170281952546
tabula_sapiens_stomach,43,0.01,baseline_correct_rare,rare_membership_score,17,0.06515063095270121,0.04792169834939102,0.0987476139194379
tabula_sapiens_stomach,43,0.01,unrescued_rare,rare_membership_score,14,0.020555860833066816,0.016872495755672047,0.028872734160174336
tabula_sapiens_stomach,43,0.01,true_rescued_rare,rare_membership_score,1,0.0423218067048081,0.0423218067048081,0.0423218067048081
tabula_sapiens_stomach,43,0.05,non_target,rare_membership_score,9543,0.012482296332621344,0.011256600577008925,0.013941170281952546
tabula_sapiens_stomach,43,0.05,baseline_correct_rare,rare_membership_score,17,0.06515063095270121,0.04792169834939102,0.0987476139194379
tabula_sapiens_stomach,43,0.05,unrescued_rare,rare_membership_score,14,0.020555860833066816,0.016872495755672047,0.028872734160174336
tabula_sapiens_stomach,43,0.05,true_rescued_rare,rare_membership_score,1,0.0423218067048081,0.0423218067048081,0.0423218067048081
tabula_sapiens_stomach,43,0.10,non_target,rare_membership_score,9543,0.012482296332621344,0.011256600577008925,0.013941170281952546
tabula_sapiens_stomach,43,0.10,baseline_correct_rare,rare_membership_score,17,0.06515063095270121,0.04792169834939102,0.0987476139194379
tabula_sapiens_stomach,43,0.10,unrescued_rare,rare_membership_score,14,0.020555860833066816,0.016872495755672047,0.028872734160174336
tabula_sapiens_stomach,43,0.10,true_rescued_rare,rare_membership_score,1,0.0423218067048081,0.0423218067048081,0.0423218067048081
tabula_sapiens_stomach,43,all,non_target,rare_membership_score,9543,0.04076259453108,0.03749105924383879,0.04462353620568324
tabula_sapiens_stomach,43,all,baseline_correct_rare,rare_membership_score,16,0.1443783009115921,0.12339899839134563,0.19052184171893646
tabula_sapiens_stomach,43,all,unrescued_rare,rare_membership_score,14,0.05619822752663309,0.05041039451482478,0.07383294547081737
tabula_sapiens_stomach,43,all,true_rescued_rare,rare_membership_score,2,0.10104894123960981,0.0998121719326042,0.10228571054661544
