dataset,seed,rare_train_size,contrast,left_group,right_group,metric,n_left,n_right,median_left,median_right,raw_median_difference,raw_cliffs_delta,hypothesis_direction,oriented_median_difference,oriented_cliffs_delta
immune_dc,42,0.10,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,prototype_margin,12,1893,0.5657912597175585,-3.238866541792388,3.8046578015099466,1.0,1.0,3.8046578015099466,1.0
immune_dc,42,0.10,H3b_true_rescued_vs_closest_competitor,true_rescued_rare,closest_competitor,scANVI_rare_probability,12,1893,0.037752657999999994,6.636158e-08,0.03775259163841999,0.9979749955978165,,,
immune_dc,42,all,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_membership_score,117,4,0.39189137443556815,0.2424968142949893,0.14939456014057886,0.9615384615384615,1.0,0.14939456014057886,0.9615384615384615
immune_dc,42,all,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_rank,117,4,1.0,1.0,0.0,0.008547008547008517,-1.0,-0.0,-0.008547008547008517
immune_dc,42,all,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_standardized_distance,117,4,0.9256681566682096,1.3292590221434013,-0.40359086547519174,-0.8931623931623932,-1.0,0.40359086547519174,0.8931623931623932
immune_dc,42,all,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,standardized_prototype_margin,117,4,0.8426504541271547,-0.17925407082386113,1.0219045249510157,0.982905982905983,1.0,1.0219045249510157,0.982905982905983
immune_dc,42,all,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,rare_prototype_distance,117,4,2.5362801792770684,3.6420971021864146,-1.1058169229093462,-0.8931623931623932,-1.0,1.1058169229093462,0.8931623931623932
immune_dc,42,all,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,nearest_nonrare_distance,117,4,5.468542709947205,4.00660404692084,1.4619386630263653,0.7179487179487178,1.0,1.4619386630263653,0.7179487179487178
immune_dc,42,all,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,prototype_margin,117,4,3.0399919916363216,0.23419202524569482,2.8057999663906266,0.982905982905983,1.0,2.8057999663906266,0.982905982905983
immune_dc,42,all,H1_baseline_correct_vs_true_rescued,baseline_correct_rare,true_rescued_rare,scANVI_rare_probability,117,4,0.9999993,0.051834023,0.9481652770000001,1.0,,,
immune_dc,42,all,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_membership_score,4,9,0.2424968142949893,0.18946541544802437,0.05303139884696492,0.8333333333333333,1.0,0.05303139884696492,0.8333333333333333
immune_dc,42,all,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_rank,4,9,1.0,2.0,-1.0,-1.0,-1.0,1.0,1.0
immune_dc,42,all,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_standardized_distance,4,9,1.3292590221434013,1.680340547079834,-0.35108152493643274,-0.5555555555555556,-1.0,0.35108152493643274,0.5555555555555556
immune_dc,42,all,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,standardized_prototype_margin,4,9,-0.17925407082386113,-0.6157236054108426,0.43646953458698146,0.9444444444444444,1.0,0.43646953458698146,0.9444444444444444
immune_dc,42,all,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,rare_prototype_distance,4,9,3.6420971021864146,4.6040413006469505,-0.9619441984605359,-0.5555555555555556,-1.0,0.9619441984605359,0.5555555555555556
immune_dc,42,all,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,nearest_nonrare_distance,4,9,4.00660404692084,3.6389361639098863,0.36766788301095366,0.6111111111111112,1.0,0.36766788301095366,0.6111111111111112
immune_dc,42,all,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,prototype_margin,4,9,0.23419202524569482,-0.9447052585017444,1.1788972837474392,1.0,1.0,1.1788972837474392,1.0
immune_dc,42,all,H2_true_rescued_vs_unrescued,true_rescued_rare,unrescued_rare,scANVI_rare_probability,4,9,0.051834023,0.00027044275,0.05156358025,0.5555555555555556,,,
immune_dc,42,all,H3a_true_rescued_vs_non_target,true_rescued_rare,non_target,rare_membership_score,4,6004,0.2424968142949893,0.08393850657693853,0.15855830771805074,0.9990839440373085,1.0,0.15855830771805074,0.9990839440373085
