dataset,seed,rare_train_size,separability,repeat,decision_seed,original_pass,adaptive_pass,adaptive_reason,actual_folds,active_folds,val_missed,oof_delta_f1,oof_delta_f1_lcb,oof_ffr_wilson_upper,oof_false_rescues
pancreas_baron,44,0.10,1.1240523770949333,3,4106293596,False,False,failed:gain,5,4,4,-0.02837049948909065,-0.05172946184250541,0.008265057188130219,4
pancreas_baron,44,0.10,1.1240523770949333,4,2194818722,False,False,failed:gain,5,3,4,-0.02837049948909065,-0.05012531328320802,0.008265057188130219,4
pancreas_baron,44,0.10,1.1240523770949333,5,4092172740,False,False,failed:gain,5,4,4,-0.021441550575408863,-0.042503816793893145,0.0070891437534947145,3
pancreas_baron,44,0.10,1.1240523770949333,6,798844453,False,False,failed:gain,5,3,4,-0.00725885826771655,-0.021596496671925758,0.0045540488990874544,1
pancreas_baron,44,0.10,1.1240523770949333,7,1698965660,False,False,"failed:active_folds,gain",5,2,4,-0.021441550575408863,-0.042626250666035204,0.0070891437534947145,3
pancreas_baron,44,0.10,1.1240523770949333,8,2657673659,False,False,failed:gain,5,3,4,-0.02837049948909065,-0.050911673122199436,0.008265057188130219,4
pancreas_baron,44,0.10,1.1240523770949333,9,421264604,False,False,failed:gain,5,3,4,-0.00725885826771655,-0.021494009866102948,0.0045540488990874544,1
pancreas_baron,44,0.10,1.1240523770949333,10,1021059205,False,False,failed:gain,5,3,4,-0.02837049948909065,-0.05078173858661661,0.008265057188130219,4
pancreas_baron,44,0.10,1.1240523770949333,11,3455965214,False,False,failed:gain,5,3,4,-0.02837049948909065,-0.05261984392419172,0.008265057188130219,4
pancreas_baron,44,0.10,1.1240523770949333,12,3513033804,False,False,"failed:active_folds,gain",5,1,4,-0.021441550575408863,-0.04329004329004327,0.0070891437534947145,3
pancreas_baron,44,0.10,1.1240523770949333,13,1905046130,False,False,"failed:active_folds,gain",5,2,4,-0.02837049948909065,-0.05262954436867477,0.008265057188130219,4
pancreas_baron,44,0.10,1.1240523770949333,14,1307156436,False,False,failed:gain,5,3,4,-0.021441550575408863,-0.042677238805970186,0.0070891437534947145,3
pancreas_baron,44,0.10,1.1240523770949333,15,1155879159,False,False,failed:gain,5,3,4,-0.021441550575408863,-0.04294917680744448,0.0070891437534947145,3
pancreas_baron,44,0.10,1.1240523770949333,16,2392919741,False,False,failed:gain,5,3,4,-0.02837049948909065,-0.05290669247480924,0.008265057188130219,4
