dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,seed,n_identity_runs,rare_f1,rare_recall,rescue_precision,incremental_fpr,abstain,alpha_violation
pancreas_baron,gamma,106,minus_necessity_gate,component,44,1,0.896969696969697,0.8604651162790697,,0.0,1.0,0.0
pancreas_baron,gamma,106,fixed_rank_1,component,44,1,0.896969696969697,0.8604651162790697,,0.0,1.0,0.0
pancreas_baron,gamma,106,minus_conformal_tau,component,44,1,0.896969696969697,0.8604651162790697,,0.0,1.0,0.0
pancreas_baron,gamma,106,full_method,component,44,1,0.896969696969697,0.8604651162790697,,0.0,1.0,0.0
pancreas_baron,gamma,106,rank_1,rank,44,1,0.896969696969697,0.8604651162790697,,0.0,1.0,0.0
pancreas_baron,gamma,106,rank_2,rank,44,1,0.896969696969697,0.8604651162790697,,0.0,1.0,0.0
pancreas_baron,gamma,106,rank_3,rank,44,1,0.896969696969697,0.8604651162790697,,0.0,1.0,0.0
pancreas_baron,gamma,106,adaptive_rank,rank,44,1,0.896969696969697,0.8604651162790697,,0.0,1.0,0.0
pancreas_integrated,endothelial,5,baseline,component,42,1,1.0,1.0,,0.0,0.0,0.0
pancreas_integrated,endothelial,5,minus_separability_gate,component,42,1,1.0,1.0,,0.0,1.0,0.0
pancreas_integrated,endothelial,5,minus_necessity_gate,component,42,1,0.9387755102040817,1.0,0.0,0.001763668430335097,0.0,0.0
