region,analysis,baseline,dataset,dataset_effect,n_within_dataset_pairs
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,TOSICA,tabula_sapiens_stomach,0.5262333333333333,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),nominal_budget,TOSICA,tabula_small_intestine,0.5847111111111112,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,TOSICA,immune_dc,0.3992,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,TOSICA,mouse_lung_tms_10x,0.14321111111111112,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,TOSICA,mouse_pancreas_tms_10x,0.4651,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,TOSICA,pancreas_baron,0.5949166666666666,6
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,TOSICA,pancreas_integrated,0.15107777777777776,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,TOSICA,tabula_lung_endo,0.07526666666666665,9
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,TOSICA,tabula_sapiens_stomach,0.5262333333333333,3
SCARCE rts<=0.10 (8ds x 3rts x 3seed),collapse_aware_effective_count,TOSICA,tabula_small_intestine,0.5847111111111112,9
