dataset,rare_class,actual_training_labeled_rare_count,variant,variant_group,n_seeds,rare_f1_mean,rare_f1_std,rare_f1_min,rare_f1_max,rare_f1_n_defined,rare_recall_mean,rare_recall_std,rare_recall_min,rare_recall_max,rare_recall_n_defined,rescue_precision_mean,rescue_precision_std,rescue_precision_min,rescue_precision_max,rescue_precision_n_defined,incremental_fpr_mean,incremental_fpr_std,incremental_fpr_min,incremental_fpr_max,incremental_fpr_n_defined,abstention_rate,alpha_violation_rate,n_alpha_violations
immune_dc,ASDC,277,rank_1,rank,3,0.9467925704689213,0.010328799276840965,0.9348659003831418,0.952755905511811,3,0.9333333333333332,0.00444115591684326,0.9307692307692308,0.9384615384615385,3,0.6833333333333332,0.3883726732577014,0.25,1.0,3,0.0003886298023539862,0.0005354014413165087,0.0,0.000999333777481679,3,0.0,0.0,0
immune_dc,ASDC,277,rank_2,rank,3,0.8159752421542098,0.012277866037085191,0.807570977917981,0.8300653594771242,3,0.976923076923077,0.0076923076923077205,0.9692307692307692,0.9846153846153847,3,0.13778704329752334,0.03050763630424193,0.10344827586206896,0.16176470588235295,3,0.008605374194981126,0.0009173168799610432,0.007661558960692871,0.00949367088607595,3,0.0,0.0,0
immune_dc,ASDC,277,rank_3,rank,3,0.8098516611308603,0.00862858459917546,0.8025078369905956,0.8193548387096774,3,0.976923076923077,0.0076923076923077205,0.9692307692307692,0.9846153846153847,3,0.13225626895995102,0.028156185603257326,0.1016949152542373,0.15714285714285714,3,0.00899400399733511,0.0007632537799726584,0.008327781479013991,0.00982678214523651,3,0.0,0.0,0
immune_dc,ASDC,277,adaptive_rank,rank,3,0.9467925704689213,0.010328799276840965,0.9348659003831418,0.952755905511811,3,0.9333333333333332,0.00444115591684326,0.9307692307692308,0.9384615384615385,3,0.6833333333333332,0.3883726732577014,0.25,1.0,3,0.0003886298023539862,0.0005354014413165087,0.0,0.000999333777481679,3,0.0,0.0,0
pancreas_baron,gamma,5,baseline,component,3,0.38287505327269694,0.25481371014928894,0.2268041237113402,0.676923076923077,3,0.2596899224806202,0.21826214302792382,0.12790697674418605,0.5116279069767442,3,,,,,0,0.0,0.0,0.0,0.0,3,0.0,0.0,0
pancreas_baron,gamma,5,minus_separability_gate,component,3,0.7866740203802921,0.041407632522580964,0.75,0.8315789473684211,3,0.7674418604651163,0.14569725681560078,0.627906976744186,0.9186046511627907,3,0.7559351276742582,0.16540021165814836,0.5833333333333334,0.9130434782608695,3,0.009157509157509158,0.006432023048139645,0.002442002442002442,0.015262515262515262,3,0.0,0.3333333333333333,1
pancreas_baron,gamma,5,minus_necessity_gate,component,3,0.5667547166264019,0.2833203287872849,0.24489795918367346,0.7784431137724551,3,0.4689922480620155,0.3103438778462944,0.13953488372093023,0.7558139534883721,3,0.7714285714285715,,0.7714285714285715,0.7714285714285715,1,0.003256003256003256,0.005639563069007333,0.0,0.009768009768009768,3,0.6666666666666666,0.0,0
pancreas_baron,gamma,5,fixed_rank_1,component,3,0.526179151339066,0.24380608905928156,0.24489795918367346,0.676923076923077,3,0.3875968992248062,0.21482800714032588,0.13953488372093023,0.5116279069767442,3,0.8918918918918919,,0.8918918918918919,0.8918918918918919,1,0.000814000814000814,0.0014098907672518333,0.0,0.002442002442002442,3,0.6666666666666666,0.0,0
pancreas_baron,gamma,5,minus_conformal_tau,component,3,0.5548927263212978,0.27047992901910833,0.24489795918367346,0.7428571428571429,3,0.4689922480620155,0.3103438778462944,0.13953488372093023,0.7558139534883721,3,0.6923076923076923,,0.6923076923076923,0.6923076923076923,1,0.004884004884004884,0.008459344603511,0.0,0.014652014652014652,3,0.6666666666666666,0.3333333333333333,1
pancreas_baron,gamma,5,full_method,component,3,0.5667547166264019,0.2833203287872849,0.24489795918367346,0.7784431137724551,3,0.4689922480620155,0.3103438778462944,0.13953488372093023,0.7558139534883721,3,0.7714285714285715,,0.7714285714285715,0.7714285714285715,1,0.003256003256003256,0.005639563069007333,0.0,0.009768009768009768,3,0.6666666666666666,0.0,0
